word,score,context_dependent,note
増収,0.8,false,
増益,0.8,false,
大幅増収,0.9,false,
大幅増益,0.9,false,
過去最高益,0.9,false,
最高益,0.9,false,
史上最高,0.95,false,
記録的,0.85,false,
黒字転換,0.9,false,
黒字化,0.8,false,
V字回復,0.9,false,
急回復,0.8,false,
復配,0.8,false,
増配,0.7,false,
特別配当,0.75,false,
記念配当,0.7,false,
業績好調,0.8,false,
業績向上,0.7,false,
業績拡大,0.7,false,
収益改善,0.7,false,
利益改善,0.7,false,
売上増加,0.6,false,
成長,0.5,false,
急成長,0.8,false,
高成長,0.8,false,
成長加速,0.8,false,
二桁成長,0.85,false,
拡大,0.4,false,
事業拡大,0.6,false,
市場拡大,0.6,false,
シェア拡大,0.7,false,
回復,0.6,false,
改善,0.7,false,
向上,0.5,false,
上昇,0.5,false,
好調,0.8,false,
順調,0.7,false,
堅調,0.6,false,
良好,0.7,false,
効率化,0.3,false,
生産性向上,0.6,false,
収益性向上,0.7,false,
競争力強化,0.7,false,
達成,0.7,false,
成功,0.8,false,
飛躍的に,0.8,false,
劇的に,0.8,false,
積極的に,0.7,false,
前向きに,0.7,false,
活発に,0.6,false,
精力的に,0.7,false,
売上高増加,0.7,false,
営業利益増加,0.8,false,
純利益増加,0.8,false,
経常利益増加,0.8,false,
総利益増加,0.7,false,
粗利益増加,0.6,false,
営業収益増加,0.7,false,
事業収益増加,0.7,false,
収益力向上,0.8,false,
収益基盤強化,0.7,false,
利益率改善,0.8,false,
利益率向上,0.8,false,
マージン改善,0.7,false,
マージン拡大,0.7,false,
ROE改善,0.8,false,
ROA改善,0.8,false,
資産効率改善,0.7,false,
キャッシュフロー改善,0.8,false,
営業キャッシュフロー増加,0.8,false,
フリーキャッシュフロー改善,0.8,false,
新規事業,0.6,false,
事業展開,0.6,false,
事業強化,0.7,false,
事業拡張,0.5,false,
市場参入,0.6,false,
海外展開,0.6,false,
グローバル展開,0.7,false,
多角化,0.5,false,
新市場,0.6,false,
新商品,0.6,false,
新サービス,0.6,false,
イノベーション,0.7,false,
技術革新,0.5,false,
デジタル化,0.3,false,
DX推進,0.3,false,
自動化,0.3,false,
省力化,0.3,false,
合理化,0.3,false,
最適化,0.3,false,
設備投資,0.3,false,
R&D,0.3,false,
開発投資,0.3,false,
技術開発,0.3,false,
新商品開発,0.3,false,
人材投資,0.3,false,
人材育成,0.3,false,
能力開発,0.3,false,
組織強化,0.3,false,
体制整備,0.3,false,
基盤強化,0.3,false,
インフラ整備,0.5,false,
システム投資,0.5,false,
IT投資,0.3,false,
デジタル投資,0.3,false,
市場シェア拡大,0.8,false,
競争優位,0.7,false,
差別化,0.6,false,
優位性,0.7,false,
強み,0.6,false,
アドバンテージ,0.6,false,
ポジション,0.4,false,
地位向上,0.6,false,
ブランド力,0.6,false,
認知度向上,0.6,false,
評価向上,0.6,false,
信頼性,0.6,false,
品質向上,0.7,false,
サービス向上,0.6,false,
顧客満足,0.7,false,
顧客満足度向上,0.7,false,
財務改善,0.7,false,
財務健全性,0.6,false,
資本効率,0.5,false,
自己資本比率改善,0.7,false,
流動比率改善,0.6,false,
債務削減,0.6,false,
借入金削減,0.6,false,
有利子負債削減,0.7,false,
資金調達,0.4,false,
資本調達,0.4,false,
増資,0.3,false,
社債発行,0.2,false,
連続増益,0.8,false,
連続黒字,0.7,false,
倍増,0.8,false,
維持,0.1,false,
継続,0.2,false,
推移,0.0,false,
持続可能性,0.3,false,
サステナビリティ,0.3,false,
ESG,0.3,false,
環境配慮,0.3,false,
環境対応,0.3,false,
脱炭素,0.3,false,
カーボンニュートラル,0.3,false,
再生可能エネルギー,0.3,false,
省エネ,0.2,false,
CO2削減,0.3,false,
ダイバーシティ,0.3,false,
働き方改革,0.3,false,
DX,0.1,false,
デジタルトランスフォーメーション,0.1,false,
AI,0.1,false,
人工知能,0.1,false,
IoT,0.1,false,
ビッグデータ,0.1,false,
クラウド,0.1,false,
ロボット化,0.1,false,
標準化,0.1,false,
システム化,0.3,false,
人材確保,0.4,false,
スキルアップ,0.3,false,
教育研修,0.3,false,
組織力,0.3,false,
チームワーク,0.3,false,
協力,0.2,false,
連携,0.4,false,
パートナーシップ,0.5,false,
アライアンス,0.3,false,
M&A,0.3,false,
買収,0.2,false,
合併,0.2,false,
統合,0.3,false,
付加価値,0.6,false,
サービス品質,0.6,false,
商品力の向上,0.6,false,
技術力の向上,0.6,false,
開発力の向上,0.6,false,
営業力の向上,0.5,false,
販売力の向上,0.5,false,
マーケティング,0.4,false,
ブランディング,0.5,false,
国際化,0.6,false,
規制緩和,0.5,false,
政策支援,0.5,false,
補助金,0.4,false,
助成金,0.4,false,
税制優遇,0.5,false,
減税,0.4,false,
設備稼働率,0.3,false,
生産性,0.4,false,
安全性,0.5,false,
耐久性,0.4,false,
機能性,0.4,false,
利便性,0.5,false,
効率性,0.5,false,
経済性,0.4,false,
満足,0.7,false,
安心,0.6,false,
期待,0.6,false,
希望,0.6,false,
楽観,0.6,false,
自信,0.7,false,
確信,0.7,false,
信頼,0.6,false,
安定,0.5,false,
安全,0.5,false,
発展,0.7,false,
進歩,0.7,false,
躍進,0.8,false,
飛躍,0.8,false,
実現,0.6,false,
完了,0.5,false,
迅速,0.4,false,
早期,0.3,false,
金利低下,0.4,false,
金融緩和,0.3,false,
景気拡大,0.7,false,
景気回復,0.6,false,
好況,0.8,false,
急騰,0.5,false,
流動性,0.3,false,
歩留まり向上,0.6,false,
稼働率向上,0.6,false,
在庫削減,0.5,false,
納期短縮,0.5,false,
不良率低下,0.6,false,
生産効率向上,0.7,false,
既存店売上増,0.7,false,
客数増加,0.6,false,
客単価上昇,0.6,false,
坪効率向上,0.6,false,
在庫回転率向上,0.6,false,
ユーザー数増加,0.7,false,
アクティブ率向上,0.6,false,
解約率低下,0.7,false,
継続率向上,0.7,false,
コンバージョン率向上,0.6,false,
EBITDA増加,0.7,false,
高い利益,0.8,false,
営業利益率向上,0.8,false,
純利益率向上,0.8,false,
総資産回転率向上,0.6,false,
自己資本利益率向上,0.8,false,
株主還元強化,0.8,false,
自社株買い,0.7,false,
配当性向向上,0.6,false,
株式分割,0.3,false,
TOB,0.3,false,
成長期待,0.7,false,
拡大見込み,0.6,false,
改善期待,0.6,false,
V字回復期待,0.8,false,
ターンアラウンド,0.7,false,
事業再生,0.6,false,
抜本改革,0.5,false,
構造転換,0.4,false,
円安,0.3,false,
品質の向上,0.4,false,
短期的,0.1,false,
中期的,0.2,false,
中期的な成長,0.3,false,
長期的,0.2,false,
長期的な成長,0.3,false,
恒久的,0.2,false,
継続的,0.4,false,
持続的,0.5,false,
段階的,0.2,false,
漸進的,0.3,false,
急進的,0.4,false,
即時,0.2,false,
グローバル化,0.6,false,
減収,-0.7,false,
減益,-0.8,false,
大幅減収,-0.9,false,
大幅減益,-0.9,false,
赤字,-0.8,false,
赤字転落,-0.9,false,
赤字拡大,-0.8,false,
損失,-0.7,false,
営業損失,-0.8,false,
純損失,-0.8,false,
経常損失,-0.8,false,
減配,-0.6,false,
無配,-0.8,false,
配当見送り,-0.7,false,
業績悪化,-0.8,false,
業績低迷,-0.7,false,
業績不振,-0.7,false,
収益悪化,-0.7,false,
利益減少,-0.6,false,
売上減少,-0.6,false,
悪化,-0.8,false,
低下,-0.6,false,
減少,-0.6,false,
下落,-0.6,false,
縮小,-0.7,false,
低迷,-0.7,false,
停滞,-0.5,false,
不振,-0.7,false,
苦戦,-0.7,false,
厳しい状況,-0.7,false,
困難,-0.7,false,
リスク増大,-0.7,false,
課題深刻化,-0.6,false,
競争激化,-0.6,false,
深刻に,-0.8,false,
重大に,-0.8,false,
致命的に,-0.9,false,
決定的に,-0.8,false,
圧倒的に,-0.7,false,
想定以上に,-0.6,false,
予想以上に,-0.6,false,
リスク,-0.5,false,
課題,-0.4,false,
問題,-0.6,false,
懸念,-0.5,false,
不安,-0.5,false,
心配,-0.4,false,
警戒,-0.4,false,
脅威,-0.7,false,
危機,-0.8,false,
危険,-0.7,false,
不確実性,-0.6,false,
評価減,-0.6,false,
不確実性が高まり,-0.8,false,
不透明,-0.5,false,
先行き不透明,-0.6,false,
見通し不透明,-0.6,false,
予断を許さない,-0.6,false,
厳しい環境,-0.7,false,
困難な状況,-0.7,false,
挑戦的な環境,-0.5,false,
逆風,-0.6,false,
向かい風,-0.6,false,
プレッシャー,-0.5,false,
重荷,-0.6,false,
負担,-0.5,false,
制約,-0.4,false,
障害,-0.6,false,
阻害要因,-0.6,false,
市場縮小,-0.6,false,
需要減少,-0.6,false,
価格下落,-0.6,false,
価格競争,-0.5,false,
シェア低下,-0.7,false,
シェア減少,-0.7,false,
競争力低下,-0.7,false,
優位性失墜,-0.8,false,
地位低下,-0.7,false,
ブランド力低下,-0.7,false,
評価低下,-0.7,false,
信頼失墜,-0.8,false,
品質問題,-0.7,false,
サービス低下,-0.6,false,
顧客離れ,-0.7,false,
顧客満足度低下,-0.7,false,
財務悪化,-0.8,false,
財務不安,-0.8,false,
資本不足,-0.7,false,
流動性不足,-0.8,false,
資金不足,-0.7,false,
資金繰り,-0.6,false,
キャッシュフロー悪化,-0.8,false,
営業キャッシュフロー減少,-0.7,false,
フリーキャッシュフロー悪化,-0.8,false,
自己資本比率悪化,-0.7,false,
債務増加,-0.6,false,
借入金増加,-0.6,false,
有利子負債増加,-0.6,false,
金利負担,-0.5,false,
返済負担,-0.6,false,
事業縮小,-0.7,false,
事業撤退,-0.8,false,
店舗閉鎖,-0.7,false,
工場閉鎖,-0.8,false,
拠点閉鎖,-0.7,false,
事業所閉鎖,-0.7,false,
撤収,-0.7,false,
統廃合,-0.5,false,
再編,-0.4,false,
リストラ,-0.8,false,
人員削減,-0.7,false,
早期退職,-0.6,false,
希望退職,-0.6,false,
解雇,-0.8,false,
雇用調整,-0.6,false,
連続減益,-0.8,false,
連続赤字,-0.7,false,
半減,-0.7,false,
不満,-0.6,false,
悲観,-0.7,false,
失望,-0.7,false,
不信,-0.6,false,
不安定,-0.6,false,
後退,-0.7,false,
衰退,-0.8,false,
実現しない,-0.6,false,
達成できない,-0.7,false,
遅延,-0.3,false,
延期,-0.3,false,
金利上昇,-0.4,false,
金融引締め,-0.3,false,
インフレ,-0.4,false,
デフレ,-0.5,false,
景気後退,-0.7,false,
不況,-0.8,false,
バブル,-0.6,false,
暴落,-0.9,false,
急落,-0.8,false,
乱高下,-0.6,false,
ボラティリティ,-0.4,false,
信用リスク,-0.6,false,
デフォルト,-0.9,false,
歩留まり悪化,-0.6,false,
稼働率低下,-0.6,false,
在庫増加,-0.5,false,
納期遅延,-0.6,false,
品質低下,-0.7,false,
不良率上昇,-0.6,false,
生産効率低下,-0.7,false,
既存店売上減,-0.7,false,
客数減少,-0.6,false,
客単価下落,-0.6,false,
坪効率低下,-0.6,false,
在庫回転率低下,-0.6,false,
ユーザー数減少,-0.7,false,
アクティブ率低下,-0.6,false,
解約率上昇,-0.7,false,
継続率低下,-0.7,false,
コンバージョン率低下,-0.6,false,
EBITDA減少,-0.7,false,
営業利益率低下,-0.8,false,
純利益率低下,-0.8,false,
総資産回転率低下,-0.6,false,
自己資本利益率低下,-0.8,false,
株主還元縮小,-0.6,false,
無配転落,-0.8,false,
配当性向低下,-0.4,false,
株式併合,-0.3,false,
上場廃止,-0.9,false,
成長懸念,-0.6,false,
縮小見込み,-0.6,false,
悪化懸念,-0.6,false,
長期低迷懸念,-0.7,false,
規制強化,-0.4,false,
増税,-0.4,false,
品質の低下,0.4,false,
為替リスク,-0.3,false,
円高,-0.3,false,
一時的,0.0,false,
暫定的,0.0,false,
減少,0.0,true,文脈により+0.7～-0.8の範囲で決定
削減,0.0,true,文脈により+0.7～-0.8の範囲で決定
縮小,0.0,true,文脈により+0.7～-0.8の範囲で決定
強化,0.0,true,文脈により+0.8～-0.7の範囲で決定
改革,0.0,true,文脈により+0.6～-0.3の範囲で決定
変化,0.0,true,文脈により+0.7～-0.7の範囲で決定
転換,0.0,true,文脈により+0.9～-0.9の範囲で決定
移行,0.0,true,文脈により+0.3～-0.3の範囲で決定
効果,0.0,true,文脈により+0.7～-0.5の範囲で決定
成果,0.0,true,文脈により+0.7～-0.7の範囲で決定
影響,0.0,true,文脈により+0.5～-0.6の範囲で決定
対応,0.0,true,文脈により+0.5～-0.5の範囲で決定
調整,0.0,true,文脈により+0.3～-0.3の範囲で決定
見直し,0.0,true,文脈により+0.4～-0.4の範囲で決定
検討,0.0,true,文脈により+0.3～-0.3の範囲で決定
減収の改善,0.7,false,文脈パターンで処理
減益の改善,0.7,false,文脈パターンで処理
赤字縮小,0.8,false,文脈パターンで処理
損失の改善,0.7,false,文脈パターンで処理
減収幅の縮小,0.7,false,文脈パターンで処理
減益幅の縮小,0.8,false,文脈パターンで処理
赤字幅の縮小,0.8,false,文脈パターンで処理
損失幅の縮小,0.7,false,文脈パターンで処理
赤字の改善,0.8,false,文脈パターンで処理
業績悪化の改善,0.7,false,文脈パターンで処理
業績悪化に歯止め,0.6,false,文脈パターンで処理
悪化に歯止め,0.6,false,文脈パターンで処理
低迷からの脱却,0.7,false,文脈パターンで処理
低迷脱却,0.7,false,文脈パターンで処理
不振からの回復,0.7,false,文脈パターンで処理
苦戦からの回復,0.6,false,文脈パターンで処理
減配の見直し,0.5,false,文脈パターンで処理
無配からの復配,0.8,false,文脈パターンで処理
底打ち,0.6,false,文脈パターンで処理
下げ止まり,0.5,false,文脈パターンで処理
歯止め,0.5,false,文脈パターンで処理
脱却,0.7,false,文脈パターンで処理
克服,0.7,false,文脈パターンで処理
立て直し,0.7,false,文脈パターンで処理
再生,0.8,false,文脈パターンで処理
復活,0.8,false,文脈パターンで処理
正常化,0.6,false,文脈パターンで処理
安定化,0.5,false,文脈パターンで処理
増収の鈍化,-0.5,false,文脈パターンで処理
増収鈍化,-0.5,false,文脈パターンで処理
増益の鈍化,-0.6,false,文脈パターンで処理
増益鈍化,-0.6,false,文脈パターンで処理
成長の鈍化,-0.6,false,文脈パターンで処理
成長鈍化,-0.6,false,文脈パターンで処理
好調に陰り,-0.5,false,文脈パターンで処理
回復の遅れ,-0.5,false,文脈パターンで処理
改善の遅れ,-0.5,false,文脈パターンで処理
増収の頭打ち,-0.6,false,文脈パターンで処理
増益の頭打ち,-0.7,false,文脈パターンで処理
成長の頭打ち,-0.6,false,文脈パターンで処理
業績好調に一服,-0.4,false,文脈パターンで処理
好調一服,-0.4,false,文脈パターンで処理
回復に足踏み,-0.4,false,文脈パターンで処理
鈍化,-0.6,false,文脈パターンで処理
頭打ち,-0.6,false,文脈パターンで処理
一服,0.1,false,文脈パターンで処理
足踏み,-0.4,false,文脈パターンで処理
踊り場,-0.3,false,文脈パターンで処理
のれん償却,-0.3,false,
減損,-0.7,false,
減損損失,-0.7,false,
特別損失,-0.4,false,
非経常損失,-0.3,false,
営業外損失,-0.2,false,
一時的損失,-0.3,false,
構造改革費用,-0.3,false,
リストラ費用,-0.6,false,
事業整理損,-0.6,false,
投資有価証券評価損,-0.5,false,
為替差損,-0.4,false,
税効果,-0.1,false,
繰延税金,-0.1,false,
構造改革効果,0.7,false,
コスト削減効果,0.6,false,
効率化効果,0.6,false,
合理化効果,0.5,false,
シナジー効果,0.7,false,
スケールメリット,0.6,false,
